P1	Elphinstone Road --> Bandra
P855	Bhayandar --> Umroli
P856	Dahisar --> Andheri
P857	Dahisar --> Saphale
P858	Dahanu Road --> Virar
P859	Mahalaxmi --> Umroli
P860	Virar --> Vangaon
P861	Marine Lines --> Mahim
P862	Boisar --> Dahanu Road
P863	Mira Road --> Mahalaxmi
P864	Vile Parle --> Elphinstone Road
P865	Nala Sopara --> Palghar
P866	Lower Parel --> Vaitarna
P867	Kandivali --> Virar
P868	Umroli --> Dadar
P869	Jogeshwari --> Palghar
P870	Kandivali --> Dahisar
P871	Kandivali --> Dadar
P872	Naigaon --> Vile Parle
P873	Grant Road --> Mumbai Central
P874	Bhayandar --> Vasai Road
P875	Nala Sopara --> Vile Parle
P876	Mira Road --> Jogeshwari
P877	Bandra --> Mahalaxmi
P878	Churchgate --> Grant Road
P879	Vasai Road --> Charni Road
P880	Mumbai Central --> Virar
P881	Boisar --> Santacruz
P882	Palghar --> Vasai Road
P883	Palghar --> Vangaon
P884	Mumbai Central --> Vile Parle
P885	Vile Parle --> Khar Road
P886	Palghar --> Mumbai Central
P887	Grant Road --> Churchgate
P888	Umroli --> Kandivali
P889	Kandivali --> Khar Road
P890	Vile Parle --> Charni Road
P891	Kelve Road --> Dadar
P892	Jogeshwari --> Dahisar
P893	Mahalaxmi --> Matunga
P894	Umroli --> Kelve Road
P895	Grant Road --> Marine Lines
P896	Churchgate --> Borivali
P897	Mumbai Central --> Vaitarna
P898	Vile Parle --> Andheri
P899	Palghar --> Naigaon
P900	Churchgate --> Virar
P901	Mira Road --> Vasai Road
P902	Khar Road --> Mahalaxmi
P903	Dadar --> Elphinstone Road
P904	Mahalaxmi --> Dadar
P905	Andheri --> Borivali
P906	Goregaon --> Vangaon
P907	Palghar --> Bandra
P908	Bhayandar --> Nala Sopara
P909	Borivali --> Andheri
P910	Mahalaxmi --> Mahim
P911	Borivali --> Malad
P912	Andheri --> Boisar
P913	Mahalaxmi --> Santacruz
P914	Marine Lines --> Lower Parel
P915	Vangaon --> Marine Lines
P916	Jogeshwari --> Santacruz
P917	Khar Road --> Dadar
P918	Marine Lines --> Churchgate
P919	Boisar --> Vangaon
P920	Virar --> Elphinstone Road
P921	Vasai Road --> Andheri
P922	Kandivali --> Boisar
P923	Mira Road --> Nala Sopara
P924	Santacruz --> Charni Road
P925	Mira Road --> Boisar
P926	Nala Sopara --> Boisar
P927	Palghar --> Umroli
P928	Goregaon --> Kandivali
P929	Virar --> Dadar
P930	Dahanu Road --> Elphinstone Road
P931	Santacruz --> Borivali
P932	Dadar --> Saphale
P933	Borivali --> Mira Road
P934	Grant Road --> Lower Parel
P935	Kandivali --> Umroli
P936	Kelve Road --> Saphale
P937	Dahanu Road --> Bandra
P938	Jogeshwari --> Khar Road
P939	Charni Road --> Vile Parle
P940	Vaitarna --> Dahanu Road
P941	Mahalaxmi --> Umroli
P942	Dahanu Road --> Vile Parle
P943	Marine Lines --> Andheri
P944	Boisar --> Kelve Road
P945	Mahim --> Dahisar
P946	Boisar --> Matunga
P947	Dadar --> Vasai Road
P948	Dahanu Road --> Andheri
P949	Elphinstone Road --> Borivali
P950	Dadar --> Mira Road
P951	Vangaon --> Kelve Road
P952	Nala Sopara --> Mahim
P953	Borivali --> Dahanu Road
P954	Boisar --> Malad
P955	Mumbai Central --> Vile Parle
P956	Saphale --> Bandra
P957	Jogeshwari --> Boisar
P958	Santacruz --> Charni Road
P959	Nala Sopara --> Churchgate
P960	Matunga --> Malad
P961	Mahim --> Matunga
P962	Matunga --> Khar Road
P963	Mahim --> Matunga
P964	Kandivali --> Bhayandar
P965	Bhayandar --> Jogeshwari
P966	Khar Road --> Mumbai Central
P967	Lower Parel --> Elphinstone Road
P968	Vangaon --> Lower Parel
P969	Saphale --> Kandivali
P970	Matunga --> Bhayandar
P971	Churchgate --> Andheri
P972	Churchgate --> Grant Road
P973	Andheri --> Vile Parle
P974	Virar --> Andheri
P975	Santacruz --> Palghar
P976	Jogeshwari --> Vangaon
P977	Virar --> Mahim
P978	Kandivali --> Vaitarna
P979	Vaitarna --> Borivali
P980	Bhayandar --> Jogeshwari
P981	Charni Road --> Bhayandar
P982	Malad --> Jogeshwari
P983	Mira Road --> Naigaon
P984	Dadar --> Churchgate
P985	Jogeshwari --> Kandivali
P986	Santacruz --> Vaitarna
P987	Mahim --> Naigaon
P988	Goregaon --> Palghar
P989	Bandra --> Santacruz
P990	Vangaon --> Umroli
P991	Grant Road --> Palghar
P992	Vasai Road --> Khar Road
P993	Mira Road --> Marine Lines
P994	Boisar --> Kelve Road
P995	Mira Road --> Vasai Road
P996	Vangaon --> Kandivali
P997	Grant Road --> Charni Road
P998	Vangaon --> Palghar
P999	Grant Road --> Vaitarna
P1000	Nala Sopara --> Vangaon
P1001	Vile Parle --> Malad
P1002	Khar Road --> Naigaon
P1003	Saphale --> Mahim
P1004	Jogeshwari --> Mahim
P1005	Charni Road --> Khar Road
P1006	Santacruz --> Marine Lines
P1007	Kandivali --> Mahalaxmi
P1008	Kelve Road --> Vangaon
P1009	Santacruz --> Bhayandar
P1010	Charni Road --> Mahalaxmi
P1011	Borivali --> Goregaon
P1012	Matunga --> Jogeshwari
P1013	Vile Parle --> Dahanu Road
P1014	Mahalaxmi --> Jogeshwari
P1015	Mahim --> Charni Road
P1016	Khar Road --> Vile Parle
P1017	Malad --> Virar
P1018	Goregaon --> Vasai Road
P1019	Saphale --> Vasai Road
P1020	Mira Road --> Saphale
P1021	Mumbai Central --> Dahanu Road
P1022	Grant Road --> Churchgate
P1023	Dahisar --> Mahalaxmi
P1024	Lower Parel --> Malad
P1025	Andheri --> Boisar
P1026	Vasai Road --> Dahanu Road
P1027	Mumbai Central --> Palghar
P1028	Grant Road --> Vaitarna
P1029	Mahim --> Elphinstone Road
P1030	Vile Parle --> Dadar
P1031	Kelve Road --> Naigaon
P1032	Boisar --> Mira Road
P1033	Borivali --> Dahisar
P1034	Jogeshwari --> Virar
P1035	Bandra --> Marine Lines
P1036	Saphale --> Nala Sopara
P1037	Umroli --> Matunga
P1038	Matunga --> Santacruz
P1039	Kandivali --> Dahisar
P1040	Churchgate --> Dahanu Road
P1041	Vangaon --> Bhayandar
P1042	Goregaon --> Dahanu Road
P1043	Vaitarna --> Bandra
P1044	Charni Road --> Naigaon
P1045	Saphale --> Khar Road
P1046	Santacruz --> Grant Road
P1047	Kandivali --> Malad
P1048	Goregaon --> Mira Road
P1049	Vasai Road --> Virar
P1050	Vaitarna --> Grant Road
P1051	Khar Road --> Elphinstone Road
P1052	Marine Lines --> Dahisar
P1053	Dadar --> Dahanu Road
P1054	Santacruz --> Andheri
P1055	Borivali --> Goregaon
P1056	Bandra --> Andheri
P1057	Palghar --> Kelve Road
P1058	Kelve Road --> Bhayandar
P1059	Andheri --> Nala Sopara
P1060	Dadar --> Kelve Road
P1061	Bandra --> Churchgate
P1062	Dadar --> Boisar
P1063	Mahalaxmi --> Mira Road
P1064	Umroli --> Lower Parel
P1065	Vangaon --> Khar Road
P1066	Kelve Road --> Bandra
P1067	Vile Parle --> Malad
P1068	Vasai Road --> Borivali
P1069	Dahisar --> Mahalaxmi
P1070	Dadar --> Dahanu Road
P1071	Boisar --> Kelve Road
P1072	Dahanu Road --> Umroli
P1073	Santacruz --> Vangaon
P1074	Kelve Road --> Jogeshwari
P1075	Mahalaxmi --> Vangaon
P1076	Churchgate --> Borivali
P1077	Grant Road --> Malad
P1078	Churchgate --> Elphinstone Road
P1079	Naigaon --> Vasai Road
P1080	Malad --> Vile Parle
P1081	Mahim --> Naigaon
P1082	Santacruz --> Umroli
P1083	Palghar --> Goregaon
P1084	Nala Sopara --> Mumbai Central
P1085	Vangaon --> Mumbai Central
P1086	Churchgate --> Borivali
P1087	Boisar --> Mumbai Central
P1088	Jogeshwari --> Bandra
P1089	Goregaon --> Vasai Road
P1090	Jogeshwari --> Kandivali
P1091	Dahisar --> Borivali
P1092	Mira Road --> Elphinstone Road
P1093	Vasai Road --> Santacruz
P1094	Vaitarna --> Palghar
P1095	Churchgate --> Lower Parel
P1096	Matunga --> Mumbai Central
P1097	Malad --> Vasai Road
P1098	Boisar --> Bandra
P1099	Mahim --> Grant Road
P1100	Bhayandar --> Palghar
P1101	Vasai Road --> Bhayandar
P1102	Grant Road --> Marine Lines
P1103	Naigaon --> Nala Sopara
P1104	Mahalaxmi --> Khar Road
P1105	Bandra --> Grant Road
P1106	Matunga --> Naigaon
P1107	Palghar --> Dahisar
P1108	Charni Road --> Lower Parel
P1109	Goregaon --> Vaitarna
P1110	Goregaon --> Kelve Road
P1111	Churchgate --> Andheri
P1112	Dahisar --> Lower Parel
P1113	Lower Parel --> Goregaon
P1114	Boisar --> Mahim
P1115	Mira Road --> Kandivali
P1116	Vangaon --> Andheri
P1117	Bandra --> Vasai Road
P1118	Bandra --> Malad
P1119	Mumbai Central --> Santacruz
P1120	Mira Road --> Vasai Road
P1121	Andheri --> Mahim
P1122	Mumbai Central --> Grant Road
P1123	Palghar --> Borivali
P1124	Naigaon --> Vile Parle
P1125	Nala Sopara --> Boisar
P1126	Saphale --> Khar Road
P1127	Andheri --> Saphale
P1128	Grant Road --> Vangaon
P1129	Khar Road --> Matunga
P1130	Kelve Road --> Dahanu Road
P1131	Naigaon --> Dahanu Road
P1132	Vangaon --> Bhayandar
P1133	Charni Road --> Matunga
P1134	Borivali --> Naigaon
P1135	Mumbai Central --> Santacruz
P1136	Boisar --> Goregaon
P1137	Kandivali --> Bhayandar
P1138	Bandra --> Kelve Road
P1139	Khar Road --> Malad
P1140	Kandivali --> Grant Road
P1141	Bandra --> Naigaon
P1142	Vaitarna --> Malad
P1143	Malad --> Charni Road
P1144	Borivali --> Dadar
P1145	Naigaon --> Dadar
P1146	Mahim --> Mira Road
P1147	Virar --> Nala Sopara
P1148	Mahalaxmi --> Bhayandar
P1149	Bandra --> Dahisar
P1150	Mira Road --> Matunga
P1151	Mahalaxmi --> Palghar
P1152	Palghar --> Malad
P1153	Vasai Road --> Andheri
P1154	Matunga --> Bandra
P1155	Vasai Road --> Grant Road
P1156	Andheri --> Charni Road
P1157	Dahisar --> Malad
P1158	Boisar --> Dadar
P1159	Marine Lines --> Charni Road
P1160	Umroli --> Vasai Road
P1161	Mira Road --> Malad
P1162	Dahisar --> Churchgate
P1163	Mahalaxmi --> Mira Road
P1164	Kandivali --> Vaitarna
P1165	Vasai Road --> Elphinstone Road
P1166	Dahanu Road --> Santacruz
P1167	Borivali --> Kandivali
P1168	Dahanu Road --> Charni Road
P1169	Mira Road --> Elphinstone Road
P1170	Dahanu Road --> Andheri
P1171	Vangaon --> Bandra
P1172	Dadar --> Malad
P1173	Dahisar --> Kandivali
P1174	Lower Parel --> Vile Parle
P1175	Jogeshwari --> Vile Parle
P1176	Nala Sopara --> Borivali
P1177	Malad --> Vasai Road
P1178	Boisar --> Jogeshwari
P1179	Marine Lines --> Kandivali
P1180	Naigaon --> Churchgate
P1181	Virar --> Naigaon
P1182	Dahisar --> Umroli
P1183	Marine Lines --> Boisar
P1184	Dahanu Road --> Churchgate
P1185	Grant Road --> Goregaon
P1186	Kandivali --> Andheri
P1187	Santacruz --> Kelve Road
P1188	Bandra --> Vile Parle
P1189	Elphinstone Road --> Vaitarna
P1190	Dahanu Road --> Kelve Road
P1191	Naigaon --> Kandivali
P1192	Vangaon --> Churchgate
P1193	Mira Road --> Naigaon
P1194	Palghar --> Santacruz
P1195	Kelve Road --> Dahisar
P1196	Kelve Road --> Charni Road
P1197	Santacruz --> Charni Road
P1198	Malad --> Lower Parel
P1199	Matunga --> Dahisar
P1200	Vaitarna --> Bandra
P1201	Vasai Road --> Andheri
P1202	Charni Road --> Andheri
P1203	Saphale --> Vaitarna
P1204	Elphinstone Road --> Palghar
P1205	Vile Parle --> Khar Road
P1206	Boisar --> Elphinstone Road
P1207	Goregaon --> Churchgate
P1208	Saphale --> Boisar
P1209	Mumbai Central --> Boisar
P1210	Borivali --> Santacruz
P1211	Virar --> Nala Sopara
P1212	Dadar --> Vile Parle
P1213	Matunga --> Grant Road
P1214	Palghar --> Dadar
P1215	Mira Road --> Jogeshwari
P1216	Naigaon --> Elphinstone Road
P1217	Boisar --> Mumbai Central
P1218	Palghar --> Lower Parel
P1219	Vangaon --> Churchgate
P1220	Borivali --> Santacruz
P1221	Mira Road --> Matunga
P1222	Matunga --> Saphale
P1223	Dahanu Road --> Mumbai Central
P1224	Matunga --> Lower Parel
P1225	Goregaon --> Palghar
P1226	Borivali --> Kelve Road
P1227	Elphinstone Road --> Marine Lines
P1228	Kelve Road --> Dadar
P1229	Dahanu Road --> Palghar
P1230	Palghar --> Naigaon
P1231	Boisar --> Vangaon
P1232	Vaitarna --> Mira Road
P1233	Bhayandar --> Churchgate
P1234	Vile Parle --> Bhayandar
P1235	Vile Parle --> Charni Road
P1236	Andheri --> Marine Lines
P1237	Dadar --> Mumbai Central
P1238	Virar --> Goregaon
P1239	Santacruz --> Mumbai Central
P1240	Charni Road --> Kandivali
P1241	Malad --> Mumbai Central
P1242	Palghar --> Bhayandar
P1243	Dahanu Road --> Dadar
P1244	Vangaon --> Mira Road
P1245	Charni Road --> Vaitarna
P1246	Jogeshwari --> Elphinstone Road
P1247	Vasai Road --> Elphinstone Road
P1248	Churchgate --> Jogeshwari
P1249	Dahanu Road --> Dadar
P1250	Andheri --> Marine Lines
P1251	Matunga --> Santacruz
P1252	Malad --> Churchgate
P1253	Khar Road --> Jogeshwari
P1254	Andheri --> Bhayandar
P1255	Mumbai Central --> Mahim
P1256	Borivali --> Vasai Road
P1257	Churchgate --> Kandivali
P1258	Saphale --> Dahisar
P1259	Andheri --> Dadar
P1260	Palghar --> Saphale
P1261	Borivali --> Grant Road
P1262	Virar --> Dadar
P1263	Borivali --> Matunga
P1264	Mumbai Central --> Bhayandar
P1265	Mahim --> Kandivali
P1266	Umroli --> Marine Lines
P1267	Borivali --> Mahalaxmi
P1268	Jogeshwari --> Dahanu Road
P1269	Mira Road --> Mahim
P1270	Bandra --> Vasai Road
P1271	Dahanu Road --> Mahim
P1272	Bhayandar --> Santacruz
P1273	Virar --> Boisar
P1274	Bhayandar --> Santacruz
P1275	Saphale --> Andheri
P1276	Mira Road --> Kandivali
P1277	Mumbai Central --> Mahalaxmi
P1278	Umroli --> Malad
P1279	Virar --> Grant Road
P1280	Dahisar --> Marine Lines
P1281	Bhayandar --> Palghar
P1282	Churchgate --> Boisar
P1283	Boisar --> Mumbai Central
P1284	Elphinstone Road --> Mira Road
P1285	Umroli --> Malad
P1286	Malad --> Charni Road
P1287	Vile Parle --> Andheri
P1288	Mumbai Central --> Kelve Road
P1289	Marine Lines --> Elphinstone Road
P1290	Mira Road --> Malad
P1291	Mira Road --> Saphale
P1292	Lower Parel --> Saphale
P1293	Umroli --> Jogeshwari
P1294	Mira Road --> Grant Road
P1295	Borivali --> Vaitarna
P1296	Goregaon --> Mira Road
P1297	Bhayandar --> Elphinstone Road
P1298	Churchgate --> Dahanu Road
P1299	Vangaon --> Bandra
P1300	Mahalaxmi --> Vangaon
P1301	Dahisar --> Mahim
P1302	Dahisar --> Dahanu Road
P1303	Mira Road --> Dadar
P1304	Santacruz --> Jogeshwari
P1305	Saphale --> Dahanu Road
P1306	Jogeshwari --> Goregaon
P1307	Mira Road --> Lower Parel
P1308	Vaitarna --> Nala Sopara
P1309	Grant Road --> Lower Parel
P1310	Vile Parle --> Andheri
P1311	Dahisar --> Grant Road
P1312	Bhayandar --> Nala Sopara
P1313	Kelve Road --> Vile Parle
P1314	Nala Sopara --> Palghar
P1315	Dahisar --> Dadar
P1316	Churchgate --> Borivali
P1317	Mahalaxmi --> Vangaon
P1318	Virar --> Goregaon
P1319	Palghar --> Santacruz
P1320	Bhayandar --> Lower Parel
P1321	Vaitarna --> Vangaon
P1322	Bhayandar --> Khar Road
P1323	Dadar --> Mira Road
P1324	Santacruz --> Nala Sopara
P1325	Charni Road --> Grant Road
P1326	Jogeshwari --> Umroli
P1327	Borivali --> Malad
P1328	Kelve Road --> Virar
P1329	Boisar --> Mahalaxmi
P1330	Mahim --> Santacruz
P1331	Lower Parel --> Grant Road
P1332	Naigaon --> Umroli
P1333	Kandivali --> Dadar
P1334	Kelve Road --> Mahim
P1335	Vasai Road --> Dahanu Road
P1336	Kandivali --> Grant Road
P1337	Santacruz --> Charni Road
P1338	Charni Road --> Mumbai Central
P1339	Vasai Road --> Andheri
P1340	Mumbai Central --> Bhayandar
P1341	Bandra --> Charni Road
P1342	Matunga --> Vasai Road
P1343	Saphale --> Malad
P1344	Mahalaxmi --> Santacruz
P1345	Santacruz --> Umroli
P1346	Dahanu Road --> Mira Road
P1347	Boisar --> Elphinstone Road
P1348	Lower Parel --> Elphinstone Road
P1349	Virar --> Goregaon
P1350	Mira Road --> Palghar
P1351	Kelve Road --> Andheri
P1352	Mahalaxmi --> Mira Road
P1353	Charni Road --> Umroli
P1354	Mira Road --> Mahalaxmi
P1355	Borivali --> Jogeshwari
P1356	Dahisar --> Mira Road
P1357	Goregaon --> Dadar
P1358	Grant Road --> Kandivali
P1359	Dadar --> Santacruz
P1360	Nala Sopara --> Mahalaxmi
P1361	Bandra --> Santacruz
P1362	Kelve Road --> Vile Parle
P1363	Palghar --> Dahanu Road
P1364	Grant Road --> Jogeshwari
P1365	Saphale --> Kandivali
P1366	Bhayandar --> Matunga
P1367	Kelve Road --> Bhayandar
P1368	Grant Road --> Dahanu Road
P1369	Nala Sopara --> Marine Lines
P1370	Vile Parle --> Saphale
P1371	Lower Parel --> Vaitarna
P1372	Nala Sopara --> Santacruz
P1373	Kandivali --> Bandra
P1374	Borivali --> Mira Road
P1375	Virar --> Marine Lines
P1376	Vile Parle --> Vasai Road
P1377	Bandra --> Virar
P1378	Naigaon --> Kandivali
P1379	Kelve Road --> Dahisar
P1380	Boisar --> Dahisar
P1381	Mahim --> Borivali
P1382	Vaitarna --> Marine Lines
P1383	Mahalaxmi --> Marine Lines
P1384	Kandivali --> Dahanu Road
P1385	Bandra --> Vasai Road
P1386	Virar --> Vaitarna
P1387	Andheri --> Matunga
P1388	Nala Sopara --> Dahanu Road
P1389	Umroli --> Vile Parle
P1390	Nala Sopara --> Dadar
P1391	Dahanu Road --> Charni Road
P1392	Kandivali --> Goregaon
P1393	Lower Parel --> Elphinstone Road
P1394	Saphale --> Matunga
P1395	Grant Road --> Goregaon
P1396	Umroli --> Dadar
P1397	Bandra --> Vangaon
P1398	Santacruz --> Kandivali
P1399	Kelve Road --> Vile Parle
P1400	Mira Road --> Saphale
P1401	Santacruz --> Mahim
P1402	Boisar --> Mahim
P1403	Khar Road --> Saphale
P1404	Goregaon --> Naigaon
P1405	Andheri --> Mira Road
P1406	Lower Parel --> Vasai Road
P1407	Goregaon --> Vile Parle
P1408	Churchgate --> Matunga
P1409	Mahalaxmi --> Kandivali
P1410	Santacruz --> Bhayandar
P1411	Santacruz --> Dahisar
P1412	Andheri --> Dadar
P1413	Vile Parle --> Malad
P1414	Saphale --> Nala Sopara
P1415	Bandra --> Goregaon
P1416	Umroli --> Goregaon
P1417	Vaitarna --> Lower Parel
P1418	Churchgate --> Charni Road
P1419	Dadar --> Borivali
P1420	Mahim --> Vile Parle
P1421	Saphale --> Bandra
P1422	Charni Road --> Borivali
P1423	Bandra --> Palghar
P1424	Borivali --> Vaitarna
P1425	Jogeshwari --> Virar
P1426	Elphinstone Road --> Andheri
P1427	Kandivali --> Charni Road
P1428	Mira Road --> Malad
P1429	Kandivali --> Virar
P1430	Palghar --> Saphale
P1431	Dadar --> Saphale
P1432	Elphinstone Road --> Virar
P1433	Palghar --> Borivali
P1434	Dahanu Road --> Grant Road
P1435	Santacruz --> Boisar
P1436	Malad --> Dadar
P1437	Dahisar --> Churchgate
P1438	Kandivali --> Mumbai Central
P1439	Lower Parel --> Grant Road
P1440	Virar --> Santacruz
P1441	Bhayandar --> Vasai Road
P1442	Bhayandar --> Lower Parel
P1443	Kandivali --> Malad
P1444	Vangaon --> Jogeshwari
P1445	Marine Lines --> Mumbai Central
P1446	Grant Road --> Andheri
P1447	Dahisar --> Bhayandar
P1448	Goregaon --> Vaitarna
P1449	Dahisar --> Dahanu Road
P1450	Malad --> Khar Road
P1451	Bandra --> Charni Road
P1452	Mira Road --> Vangaon
P1453	Mumbai Central --> Matunga
P1454	Dahisar --> Vile Parle
P1455	Dahanu Road --> Bandra
P1456	Marine Lines --> Malad
P1457	Churchgate --> Vasai Road
P1458	Kandivali --> Dahanu Road
P1459	Khar Road --> Mira Road
P1460	Andheri --> Saphale
P1461	Matunga --> Bandra
P1462	Dahanu Road --> Vile Parle
P1463	Vile Parle --> Borivali
P1464	Nala Sopara --> Mumbai Central
P1465	Malad --> Boisar
P1466	Palghar --> Vile Parle
P1467	Dahanu Road --> Bandra
P1468	Mahim --> Mumbai Central
P1469	Mahalaxmi --> Vile Parle
P1470	Charni Road --> Santacruz
P1471	Kandivali --> Vaitarna
P1472	Mira Road --> Dahanu Road
P1473	Charni Road --> Bhayandar
P1474	Naigaon --> Goregaon
P1475	Grant Road --> Kelve Road
P1476	Dadar --> Vasai Road
P1477	Churchgate --> Umroli
P1478	Boisar --> Palghar
P1479	Nala Sopara --> Mahalaxmi
P1480	Mira Road --> Elphinstone Road
P1481	Vasai Road --> Vaitarna
P1482	Vasai Road --> Khar Road
P1483	Vangaon --> Jogeshwari
P1484	Bhayandar --> Vasai Road
P1485	Dadar --> Andheri
P1486	Dahisar --> Bhayandar
P1487	Vangaon --> Umroli
P1488	Lower Parel --> Nala Sopara
P1489	Goregaon --> Matunga
P1490	Vasai Road --> Mahalaxmi
P1491	Goregaon --> Khar Road
P1492	Kelve Road --> Goregaon
P1493	Matunga --> Saphale
P1494	Mira Road --> Khar Road
P1495	Nala Sopara --> Kandivali
P1496	Goregaon --> Jogeshwari
P1497	Vile Parle --> Jogeshwari
P1498	Andheri --> Palghar
P1499	Lower Parel --> Charni Road
P1500	Mira Road --> Lower Parel
P1501	Bandra --> Dahanu Road
P1502	Virar --> Vangaon
P1503	Grant Road --> Vile Parle
P1504	Santacruz --> Elphinstone Road
P1505	Marine Lines --> Dadar
P1506	Santacruz --> Mira Road
P1507	Santacruz --> Malad
P1508	Matunga --> Kelve Road
P1509	Naigaon --> Palghar
P1510	Mira Road --> Churchgate
P1511	Palghar --> Kelve Road
P1512	Kandivali --> Santacruz
P1513	Andheri --> Mira Road
P1514	Grant Road --> Charni Road
P1515	Nala Sopara --> Mahim
P1516	Grant Road --> Vile Parle
P1517	Matunga --> Andheri
P1518	Mira Road --> Andheri
P1519	Santacruz --> Goregaon
P1520	Santacruz --> Vangaon
P1521	Dahanu Road --> Boisar
P1522	Dahanu Road --> Elphinstone Road
P1523	Mumbai Central --> Malad
P1524	Charni Road --> Mira Road
P1525	Mahim --> Jogeshwari
P1526	Matunga --> Bhayandar
P1527	Kandivali --> Vile Parle
P1528	Andheri --> Dahisar
P1529	Mumbai Central --> Borivali
P1530	Vaitarna --> Goregaon
P1531	Mahalaxmi --> Naigaon
P1532	Nala Sopara --> Andheri
P1533	Vaitarna --> Malad
P1534	Malad --> Mahalaxmi
P1535	Palghar --> Grant Road
P1536	Mahalaxmi --> Umroli
P1537	Grant Road --> Lower Parel
P1538	Umroli --> Dahisar
P1539	Bandra --> Nala Sopara
P1540	Umroli --> Santacruz
P1541	Palghar --> Saphale
P1542	Grant Road --> Mahim
P1543	Umroli --> Andheri
P1544	Khar Road --> Matunga
P1545	Mahalaxmi --> Vaitarna
P1546	Goregaon --> Jogeshwari
P1547	Kelve Road --> Kandivali
P1548	Vaitarna --> Khar Road
P1549	Jogeshwari --> Mira Road
P1550	Elphinstone Road --> Vasai Road
P1551	Khar Road --> Bandra
P1552	Santacruz --> Grant Road
P1553	Malad --> Vile Parle
P1554	Bhayandar --> Vangaon
P1555	Umroli --> Mira Road
P1556	Dadar --> Kelve Road
P1557	Andheri --> Kelve Road
P1558	Mahalaxmi --> Naigaon
P1559	Mira Road --> Churchgate
P1560	Jogeshwari --> Dadar
P1561	Vile Parle --> Churchgate
P1562	Dahanu Road --> Bandra
P1563	Elphinstone Road --> Khar Road
P1564	Goregaon --> Grant Road
P1565	Saphale --> Marine Lines
P1566	Lower Parel --> Mahim
P1567	Goregaon --> Charni Road
P1568	Goregaon --> Khar Road
P1569	Elphinstone Road --> Dadar
P1570	Churchgate --> Saphale
P1571	Vasai Road --> Boisar
P1572	Umroli --> Charni Road
P1573	Kandivali --> Virar
P1574	Mahim --> Vasai Road
P1575	Palghar --> Saphale
P1576	Mahalaxmi --> Naigaon
P1577	Andheri --> Malad
P1578	Santacruz --> Grant Road
P1579	Matunga --> Charni Road
P1580	Goregaon --> Vangaon
